gene_id,GSM2734272,GSM2734271,GSM2734273,GSM2734267,GSM2734268,GSM2734269,GSM2734274,GSM2734270
ENSG00000202198,2589919.0,3186244.0,1720286.0,643506.0,975338.0,2445926.0,2797037,472920.0
ENSG00000156508,779209.0,652871.0,167764.0,125324.0,527812.0,374545.0,80334,228226.0
ENSG00000263934,200342.0,205003.0,,,216835.0,549967.0,1324476,36755.0
ENSG00000269900,308716.0,270922.0,284483.0,117355.0,206041.0,431732.0,582332,77771.0
ENSG00000210082,50254.0,54244.0,147386.0,8032.0,41074.0,195542.0,689617,137874.0
ENSG00000251562,29961.0,22621.0,174371.0,24572.0,81453.0,138462.0,759431,85484.0
ENSG00000198804,23856.0,28848.0,52317.0,21680.0,39803.0,189378.0,415783,225277.0
ENSG00000133112,227059.0,219936.0,48988.0,44327.0,157980.0,157654.0,26060,74399.0
ENSG00000198938,19290.0,23531.0,53011.0,13027.0,26799.0,152103.0,276446,335626.0
ENSG00000167658,249452.0,185527.0,36273.0,34527.0,89906.0,87131.0,37438,55241.0
ENSG00000184009,162007.0,146477.0,25871.0,20045.0,49318.0,120263.0,29517,77751.0
ENSG00000142541,171840.0,137412.0,34128.0,27097.0,83196.0,90327.0,21076,52692.0
ENSG00000242125,56163.0,60064.0,41350.0,56497.0,53631.0,66872.0,248506,11086.0
ENSG00000111640,151407.0,149339.0,8851.0,25908.0,85769.0,76042.0,17397,51014.0
ENSG00000231500,134685.0,124021.0,20014.0,31887.0,109389.0,71542.0,16512,46440.0
ENSG00000019582,101692.0,93473.0,60578.0,20119.0,83609.0,118489.0,20136,36517.0
ENSG00000137154,150711.0,113410.0,20851.0,16979.0,74436.0,71248.0,18301,55969.0
ENSG00000089157,166236.0,114742.0,15287.0,27519.0,72152.0,64395.0,14937,44670.0
ENSG00000244734,41.0,1.0,93.0,28726.0,106297.0,151779.0,23,228438.0
ENSG00000200087,38395.0,40870.0,33630.0,35357.0,37884.0,61858.0,238814,6334.0
ENSG00000075624,68852.0,100413.0,50290.0,21263.0,57389.0,71100.0,59147,55665.0
ENSG00000174444,137333.0,104767.0,21313.0,26300.0,64720.0,55897.0,20477,48603.0
ENSG00000145425,111720.0,92195.0,21370.0,27546.0,68371.0,73239.0,14789,46360.0
ENSG00000234745,59654.0,61136.0,69918.0,28295.0,83203.0,100208.0,14687,31318.0
ENSG00000204287,89984.0,87340.0,29472.0,14185.0,58563.0,121037.0,6020,37452.0
ENSG00000166710,68309.0,70277.0,38035.0,32924.0,64041.0,110779.0,14942,41419.0
ENSG00000204628,128640.0,96216.0,20229.0,19540.0,74668.0,57398.0,18599,20321.0
ENSG00000187514,105118.0,123795.0,42232.0,14148.0,35813.0,50569.0,23444,30200.0
ENSG00000142534,125120.0,108739.0,22356.0,18037.0,46644.0,55415.0,14415,31556.0
ENSG00000100316,123428.0,81925.0,20597.0,16445.0,62195.0,56405.0,18106,38277.0
ENSG00000167526,120151.0,87972.0,16212.0,25321.0,54833.0,54695.0,16145,35804.0
ENSG00000142937,109875.0,91299.0,16829.0,21910.0,67397.0,49309.0,15817,32763.0
ENSG00000108298,116933.0,92174.0,17184.0,19525.0,52152.0,49889.0,16026,33004.0
ENSG00000198712,10933.0,12816.0,23131.0,7025.0,11795.0,64612.0,149283,100405.0
ENSG00000198034,101494.0,75147.0,13118.0,17331.0,38138.0,64660.0,10851,49080.0
ENSG00000149273,98422.0,76173.0,17091.0,18250.0,58970.0,47448.0,12864,29515.0
ENSG00000109971,94733.0,77242.0,5931.0,12665.0,68561.0,54475.0,5787,23094.0
ENSG00000148303,98688.0,69646.0,17060.0,17513.0,41710.0,46582.0,15710,34177.0
ENSG00000186468,89170.0,71287.0,16507.0,13615.0,53501.0,43174.0,11863,32818.0
ENSG00000122406,97574.0,70488.0,14007.0,17787.0,38572.0,42156.0,13375,32262.0
ENSG00000112306,82370.0,67733.0,11746.0,16795.0,65923.0,40044.0,9048,27524.0
ENSG00000140988,99794.0,63185.0,11562.0,16055.0,49805.0,37786.0,12023,29617.0
ENSG00000147403,87676.0,73544.0,20208.0,14541.0,38576.0,45459.0,13438,25009.0
ENSG00000264063,4322.0,3686.0,15965.0,11335.0,29474.0,100888.0,126433,24307.0
ENSG00000100345,44008.0,45181.0,39554.0,7374.0,26367.0,49891.0,64358,31899.0
ENSG00000138326,87614.0,70530.0,15341.0,15697.0,34709.0,37505.0,13614,28254.0
ENSG00000107447,86357.0,74448.0,9.0,19932.0,27027.0,73649.0,10,19847.0
ENSG00000177954,77053.0,75276.0,21729.0,11819.0,40822.0,42723.0,7723,22150.0
ENSG00000105372,81267.0,61674.0,10638.0,14851.0,42175.0,45119.0,8423,24531.0
