gene_name,GSM3099391,GSM3099301,GSM3099302,GSM3099259,GSM3099299,GSM3099292,GSM3099343,GSM3099311,GSM3099274,GSM3099318,GSM3099302,GSM3099343
ENSG00000228253,19747.07,1628.15,10572.49,89706.8,17908.89,3932.91,20605.23,8265.43,6939.08,68867.56,10572.49,20605.23
ENSG00000198712,8013.62,940.45,4414.5,18897.82,9825.5,2125.39,22229.19,5357.53,5006.01,31830.21,4414.5,22229.19
ENSG00000198804,9998.49,1379.13,5745.62,32955.44,7516.45,2611.35,15896.49,5835.75,3390.51,18844.59,5745.62,15896.49
ENSG00000198840,5495.02,775.45,6173.19,19210.43,13109.46,4254.12,19430.81,3487.3,3526.48,21266.11,6173.19,19430.81
ENSG00000198938,6630.35,1043.38,10280.3,28384.08,8662.26,2930.61,5752.34,4341.19,3295.34,12284.95,10280.3,5752.34
ENSG00000198899,8126.35,728.81,4208.81,29860.07,8496.19,1812.32,8193.75,3469.75,3426.86,30619.92,4208.81,8193.75
ENSG00000212907,6602.02,676.83,3767.08,26538.92,8818.95,1810.07,14326.05,4325.41,2961.17,20846.47,3767.08,14326.05
RPS27,13877.27,8764.7,12155.19,8430.47,7365.02,18683.41,9497.09,14348.45,12601.11,4153.76,12155.19,9497.09
RPS18,42510.71,54547.2,18617.48,4618.33,5856.91,19878.82,7029.15,12439.45,12615.29,4555.14,18617.48,7029.15
B2M,5021.53,34779.93,6636.49,6432.49,27258.99,4080.87,8869.45,19487.3,4593.26,17564.48,6636.49,8869.45
ENSG00000198886,5906.22,533.37,2486.53,16031.3,6111.88,1131.77,9430.91,2667.0,2356.34,13541.61,2486.53,9430.91
ENSG00000198763,6071.25,383.48,2514.55,13854.13,7072.89,1127.3,13020.99,2751.03,1883.67,22699.74,2514.55,13020.99
RPL41,21209.7,15425.7,20016.17,8501.15,7578.74,20390.09,7040.24,9429.5,7526.04,5844.64,20016.17,7040.24
EEF1A1,8537.42,7401.7,8077.76,8587.43,4185.76,16772.25,4294.14,9342.08,6373.97,5249.02,8077.76,4294.14
TMSB4X,7799.5,14483.4,17713.26,2774.01,5186.81,5273.08,4515.86,25516.25,4619.65,6230.95,17713.26,4515.86
ENSG00000210082,4878.26,1418.51,3708.45,14644.2,2668.09,1830.13,3632.05,2233.6,1040.39,8958.55,3708.45,3632.05
TPT1,20020.22,20285.77,13340.0,4135.77,3353.52,14566.63,3558.72,6340.74,3956.81,3493.16,13340.0,3558.72
RPL39,16266.95,62892.23,8878.02,4607.12,4127.05,11458.35,4684.61,9765.37,5346.74,3695.84,8878.02,4684.61
ENSG00000198888,6047.77,231.94,2739.9,11243.14,2671.11,990.58,3487.75,1812.97,923.28,8187.57,2739.9,3487.75
ENSG00000198727,3510.93,349.98,1904.65,10511.09,4616.05,861.37,3050.94,1605.22,1443.64,7347.82,1904.65,3050.94
RPLP1,5762.33,8719.81,5037.25,167.95,6612.74,8237.77,7929.67,7209.93,4297.82,2292.85,5037.25,7929.67
Ig kappa,418.96,302.88,782.48,1992.22,9905.43,671.23,7323.92,3179.03,938.37,9738.52,782.48,7323.92
TMSB10,13290.84,13878.5,5766.13,1598.95,2524.45,5172.08,8495.47,17460.44,7296.7,3079.26,5766.13,8495.47
RPS15A,21382.31,27806.28,8765.17,3209.55,2541.91,7571.58,4244.74,7330.65,3962.31,1406.86,8765.17,4244.74
RPS12,7806.76,24832.57,8265.27,1676.89,2482.95,8050.4,3122.46,4729.61,3766.67,2010.85,8265.27,3122.46
RPS29,27694.89,18141.19,5996.91,1763.06,2087.64,6287.28,3251.45,7333.97,3631.72,2966.15,5996.91,3251.45
RPS17L,8155.09,16501.62,7338.03,1697.67,3157.34,8552.13,3893.89,8273.71,3436.34,1855.75,7338.03,3893.89
RPS6,17167.44,25647.51,5570.81,2606.18,2626.27,10749.89,2727.09,7413.3,5576.2,1636.84,5570.81,2727.09
IGHG1,77.09,98.65,473.42,40.5,7423.78,118.15,4788.15,547.05,1357.68,6840.21,473.42,4788.15
RPL19,3928.69,1771.94,30906.88,598.26,3099.73,3858.93,5638.31,2146.59,4368.78,1844.86,30906.88,5638.31
RPS3A,23130.05,20969.84,7576.39,2716.58,2320.46,9414.07,1188.86,3873.13,3588.63,1491.47,7576.39,1188.86
RPL30,4438.87,920.94,5550.02,2406.1,3256.95,4283.83,5261.77,4574.84,5156.2,3009.32,5550.02,5261.77
SCGB2A2,4.36,0.12,362.03,81.4,0.58,2027.45,2.56,0.94,0.0,3672.4,362.03,2.56
RPL37A,4462.77,1939.84,5620.55,3245.6,3144.33,6165.48,5827.6,3083.38,6033.02,2269.57,5620.55,5827.6
RPL31,4423.51,5654.81,6335.92,2954.08,2326.57,8441.01,3352.48,5177.09,2948.03,1776.07,6335.92,3352.48
RPL23,1968.47,1282.87,2451.77,2209.46,2845.79,4474.66,5545.32,1578.22,4069.09,1651.02,2451.77,5545.32
FTL,797.98,774.22,1724.4,599.36,1799.27,1520.02,3099.98,4277.34,3818.59,2607.89,1724.4,3099.98
ENSG00000198695,4715.86,436.49,753.9,7641.66,2730.2,493.28,2639.17,1815.98,686.76,3255.3,753.9,2639.17
RPL21,14346.53,15846.51,8638.22,3629.39,3148.1,7082.31,2364.62,3867.81,2959.31,2154.61,8638.22,2364.62
RPL7,4080.07,1428.39,5618.89,3635.41,1840.04,5039.83,3189.27,4065.47,4814.9,1707.9,5618.89,3189.27
RPS11,7386.24,3280.04,5254.92,2228.37,2648.34,5851.16,2430.38,4095.77,10210.57,1731.9,5254.92,2430.38
RPS14,13680.27,10742.98,5742.43,2090.09,2071.91,6511.48,2291.08,3047.56,3053.85,1152.5,5742.43,2291.08
RPS24,2756.63,3499.61,6022.96,2538.29,2683.01,5577.49,2631.97,4403.03,4620.74,1841.76,6022.96,2631.97
RPS8,6190.88,9684.81,4108.57,984.56,2747.6,6786.62,2485.27,4589.73,5090.42,1755.18,4108.57,2485.27
FTH1,441.3,716.26,1970.49,3024.38,1617.16,2149.59,2220.91,2386.38,2818.4,2851.85,1970.49,2220.91
RPL27,13061.4,10474.27,3676.22,1421.48,2684.64,5276.08,6495.74,3745.4,2885.7,1700.65,3676.22,6495.74
RPL35A,4991.04,3194.33,4031.26,3090.12,2178.76,5622.95,2217.35,3193.13,6092.05,1936.38,4031.26,2217.35
RPL26,7904.78,7161.81,4451.98,2382.83,1433.07,5762.12,2698.75,2856.53,3663.79,1355.43,4451.98,2698.75
RPS4X,1998.09,1526.63,2879.58,3845.74,2114.23,7330.69,2931.89,3375.81,5586.19,1462.91,2879.58,2931.89
RPL8,6670.61,2214.55,5647.68,523.8,1057.67,4053.22,4498.64,3292.25,3637.08,2991.85,5647.68,4498.64
RPL38,6326.8,2646.78,8271.48,579.43,3571.6,3852.42,5975.3,2826.07,4167.78,1184.19,8271.48,5975.3
RPL13A,6946.45,2334.42,4449.11,667.22,2071.87,5626.41,1679.65,2900.15,6252.9,1287.79,4449.11,1679.65
RPS25,5195.45,3914.96,3347.33,1793.67,1683.35,4666.6,2304.12,5037.25,2246.84,1486.93,3347.33,2304.12
