gene_name_reference,GSM2734272,GSM2734271,GSM2734273,GSM2734267,GSM2734268,GSM2734269,GSM2734274,GSM2734270
7SK,10372,13407,7713,2173,4122,11304,8835,1940
EEF1A1,779209,652871,167764,125324,527812,374545,80334,228226
RMRP,308716,270922,284483,117355,206041,431732,582332,77771
MT-RNR2,50254,54244,147386,8032,41074,195542,689617,137874
MALAT1,29961,22621,174371,24572,81453,138462,759431,85484
MT-CO1,23856,28848,52317,21680,39803,189378,415783,225277
TPT1,227059,219936,48988,44327,157980,157654,26060,74399
MT-CO3,19290,23531,53011,13027,26799,152103,276446,335626
EEF2,249452,185527,36273,34527,89906,87131,37438,55241
ACTG1,162007,146477,25871,20045,49318,120263,29517,77751
RPL13A,171840,137412,34128,27097,83196,90327,21076,52692
SNHG3,56163,60064,41350,56497,53631,66872,248506,11086
GAPDH,151407,149339,8851,25908,85769,76042,17397,51014
RPS18,134685,124021,20014,31887,109389,71542,16512,46440
CD74,101692,93473,60578,20119,83609,118489,20136,36517
RPS6,150711,113410,20851,16979,74436,71248,18301,55969
RPLP0,166236,114742,15287,27519,72152,64395,14937,44670
HBB,41,1,93,28726,106297,151779,23,228438
SNORA73B,38395,40870,33630,35357,37884,61858,238814,6334
ACTB,68852,100413,50290,21263,57389,71100,59147,55665
RPL4,137333,104767,21313,26300,64720,55897,20477,48603
RPS3A,111720,92195,21370,27546,68371,73239,14789,46360
HLA-B,59654,61136,69918,28295,83203,100208,14687,31318
HLA-DRA,89984,87340,29472,14185,58563,121037,6020,37452
B2M,68309,70277,38035,32924,64041,110779,14942,41419
RACK1,128640,96216,20229,19540,74668,57398,18599,20321
PTMA,105118,123795,42232,14148,35813,50569,23444,30200
RPS11,125120,108739,22356,18037,46644,55415,14415,31556
RPL3,123428,81925,20597,16445,62195,56405,18106,38277
RPL13,120151,87972,16212,25321,54833,54695,16145,35804
RPS8,109875,91299,16829,21910,67397,49309,15817,32763
RPL19,116933,92174,17184,19525,52152,49889,16026,33004
MT-CO2,10933,12816,23131,7025,11795,64612,149283,100405
RPS4X,101494,75147,13118,17331,38138,64660,10851,49080
RPS3,98422,76173,17091,18250,58970,47448,12864,29515
HSPA8,94733,77242,5931,12665,68561,54475,5787,23094
RPL7A,98688,69646,17060,17513,41710,46582,15710,34177
RPS23,89170,71287,16507,13615,53501,43174,11863,32818
RPL5,97574,70488,14007,17787,38572,42156,13375,32262
RPS12,82370,67733,11746,16795,65923,40044,9048,27524
RPS2,99794,63185,11562,16055,49805,37786,12023,29617
RPL10,87676,73544,20208,14541,38576,45459,13438,25009
CR392039.1,0,0,0,0,0,0,0,0
MYH9,44008,45181,39554,7374,26367,49891,64358,31899
RPS24,87614,70530,15341,15697,34709,37505,13614,28254
DNTT,86357,74448,9,19932,27027,73649,10,19847
RPS27,77053,75276,21729,11819,40822,42723,7723,22150
RPS19,81267,61674,10638,14851,42175,45119,8423,24531
RPL7,74374,55292,11364,21200,47519,37746,10757,24303
TUBB,89639,88897,7323,7059,34881,18641,13272,19863
RPL11,73490,51668,13161,14547,49948,39250,10711,25271
HNRNPA1,56568,67423,18193,9205,37999,30792,23630,28810
RPS14,75777,58701,13712,13586,40021,33398,11333,24964
TMSB4X,42295,71360,36445,9298,20618,48993,15802,24616
RPL37,81056,62159,14180,13347,29272,33772,11754,23443
LAPTM5,56003,54544,32488,13864,55844,38869,9055,8184
SCARNA10,38049,52235,49178,6276,24957,51875,36240,4443
RPL9,67279,51811,13213,14914,35178,42785,7996,28263
MACF1,27052,27182,29739,9062,22453,59317,58184,25794
DDX5,33231,37967,58908,9653,16803,45588,40335,14667
RPSA,71302,57299,11768,13656,33871,34967,9096,24849
RPL31,70155,53115,12465,13499,34911,37921,9273,25136
RPL32,74807,56472,11440,13683,33309,31926,11048,23135
RPL37A,66874,50497,10112,15517,35286,35861,10368,27911
HLA-A,38133,46255,28757,15181,40144,55507,6798,19562
TOP2B,87888,69122,14858,7806,13374,22599,22486,12094
XBP1,46152,65441,3219,16837,42737,47081,7252,18259
RPL10A,66752,50025,12881,11944,35802,33440,10751,21443
RPL15,66634,50536,14099,12169,32031,34381,10466,22178
NPM1,65387,49193,9152,12423,53345,27205,10753,12849
RPS20,63935,50652,9420,15460,38437,32351,6915,21532
RPL27A,45707,44033,13555,12295,51561,35188,12039,24209
AHNAK,1115,315,13992,10698,18107,85772,74664,28886
RPL30,54407,49092,13197,15294,44950,28711,8537,17897
UBC,34718,45466,48965,16277,29712,33157,11420,12256
H1-2,61175,84999,5996,8623,20428,26199,4702,17525
H1-5,65977,91233,1722,8145,27665,12595,2638,15712
RPS27A,60676,46319,12006,12634,28721,35826,6691,22478
RN7SKP80,41343,50488,25018,8918,14422,40104,37609,6314
SNORD17,20437,24589,25312,3608,18297,43555,79311,2127
CDK6,38754,49156,30485,7317,12503,22408,43845,12503
DDX17,42899,34630,11257,5812,17600,34475,52100,17823
RPL23,57140,45989,7814,14699,29754,29251,8856,20973
HNRNPH1,27698,28193,40533,6950,17181,26577,53445,10816
HLA-E,31524,28188,29876,8702,30860,53670,8879,16300
RPL6,54197,43749,10577,12210,26195,28627,9580,22746
RPLP2,54600,48760,12569,9429,37212,22289,7130,15124
RPS7,52252,43332,13467,11996,27408,30260,8255,20045
SPTBN1,51459,68999,9199,7190,12720,40826,7559,8714
TUBA1B,61934,61981,5725,7609,28006,14604,7810,17301
ENO1,35221,45709,4685,12604,26821,39641,13601,25421
EIF4B,50221,46225,8185,9773,24934,30823,10867,20496
