gene_name_reference,GSM2734272,GSM2734271,GSM2734273,GSM2734267,GSM2734268,GSM2734269,GSM2734274,GSM2734270
7SK,127.67857281077366,146.45494494298077,134.20545312044152,107.4699339838947,79.3303578611446,108.16164255244766,67.64951347849352,60.84164542154395
EEF1A1,4478.098666186432,3329.538148657954,1362.7926748773864,2893.6479366794792,4742.363861610717,1673.1285714202616,287.17174183709534,3341.554326301233
RMRP,39349.82844803387,30643.96071719947,51254.422427039055,60097.588681540925,41059.46331188759,42774.36374335463,46169.6915423767,25254.86768516105
MT-RNR2,1101.1412169996167,1054.729298444881,4564.780888597989,707.0788189711307,1407.0686827014224,3330.412670435519,9399.028249631288,7696.592063660492
MALAT1,117.53206945267716,78.74605346242548,966.8645933713884,387.2686392304532,499.5547324139882,422.198117532696,1853.0665299749496,854.3358357389316
MT-CO1,528.4838877981839,567.1092795238907,1638.2051145860864,1929.5904782187336,1378.560550298155,3260.9884792597995,5729.325097151041,12714.36540169779
TPT1,2005.778850205508,1724.0806122871654,611.6815144144089,1573.2017140419262,2181.837243699789,1082.5175216432938,143.19285576099935,1674.3842663091505
MT-CO3,840.4940896258066,909.828923869047,3264.8238395462463,2280.4397036876185,1825.5634810444271,5151.406596421642,7492.303453555382,37256.473338777374
EEF2,2116.039934304821,1396.564217358166,434.9222890336535,1176.7046195185335,1192.3436955796303,574.5068104153465,197.5386682496925,1193.828961709484
ACTG1,1859.5992053719945,1492.0106655911588,419.7494230850593,924.4073224099892,885.048240074217,1073.0086397936534,210.74651400722945,2273.711010341848
RPL13A,2477.8653472932,1758.308266800107,695.5936299408895,1569.807478990385,1875.5636145277776,1012.4104941080697,189.0358787016614,1935.716850824825
SNHG3,469.3079484573301,445.3882769426202,488.39863959827466,1896.7266374572423,700.6472490164023,434.3477114618088,1291.6567058457586,236.0077124362581
GAPDH,1738.511161081102,1521.6742336000436,143.6531618866348,1195.1905800047048,1539.705956634759,678.6887858168952,124.25346387256,1492.329128685547
RPS18,2424.049708421934,1980.7717740200449,509.1520610952588,2305.7260005375024,3078.0229772883167,1000.8499719961214,184.8521827220716,2129.404714436192
CD74,1091.018785776771,889.9150273144995,918.6534082430028,867.2085974996918,1402.4080095326312,988.1186302037656,134.37585936342626,998.1234078345002
RPS6,1896.9400550304117,1266.7092008465331,370.9598128390628,858.6032108548847,1464.7637965738998,697.0548398327705,143.28017025561562,1794.7332646986115
RPLP0,1419.3026960820696,869.3392380087422,184.48605027985275,943.9616268752952,963.106327105907,427.353936413223,79.32607035984114,971.649450423544
HBB,1.1879237097157718,0.0257111565608139,3.808719261748689,3343.887010663788,4815.059033355823,3418.235612761399,0.4145101239014242,16862.2976994913
SNORA73B,6429.289819932951,6073.092392289753,7959.879966419212,23786.77060500814,9917.907966652156,8051.370634852849,24874.291909624124,2702.1540209411387
ACTB,722.3549658801165,934.8479161089226,745.773690532845,896.2525126159189,941.3230091498835,579.8148271236722,385.984119242211,1487.853001577251
RPL4,832.5292208034324,563.5935389104901,182.62510699190184,640.5485779112612,613.3932628541055,263.3896419916188,77.21355016091691,750.6394146008159
RPS3A,1630.2267390993727,1193.8269343389495,440.7709131066515,1614.9064632522611,1559.7856901326068,830.7017103585615,134.23275583054166,1723.4719592552767
HLA-B,676.5549894300402,615.2866196496565,1120.8405850123945,1289.2732559952224,1475.2935088217616,883.3880891973948,103.60941904416704,904.90140082121
HLA-DRA,2401.451521438272,2068.419559477607,1111.755937861067,1520.931356647381,2443.4742121347035,2510.8010041175407,99.9327026222918,2546.403680536915
B2M,740.5391500177499,676.0833315160505,582.8339430226991,1434.0174399522186,1085.435734041051,933.4974797619078,100.75844121126572,1143.9667835785938
RACK1,693.8810743377883,460.54622614141306,154.2320905077056,423.4530980625678,629.6793400201655,240.6530578496541,62.40238916680613,279.25296699794285
PTMA,1063.0065558102433,1110.910001947836,603.6591982451255,574.8117658481949,566.2073085555486,397.4924031172669,147.46643410629318,778.0535811699247
RPS11,3074.8960197545616,2371.406208202176,776.5852177199326,1780.9008789914608,1792.1543051163894,1058.5628532951846,220.3540097306856,1975.738011610628
RPL3,880.7826744733409,518.7862304089159,207.75446214718244,471.4771977077902,693.8833364859534,312.8659415272121,80.36745204548988,695.8837144302131
RPL13,1056.1925317945872,686.2416723616013,201.439028206196,894.2692555334155,753.5873933965041,373.7222397136507,88.2787884659316,801.8459878001739
RPS8,1318.3475601730456,972.1067786705804,285.41754225948864,1056.1975449091412,1264.2923548089889,459.8782185677108,118.0477621977958,1001.5171785683744
RPL19,1686.840007330681,1179.9460602880877,350.39055000815387,1131.617324678338,1176.2067933424348,559.4061199263391,143.80187592932103,1212.961701932569
MT-CO2,546.0114439346124,567.978393491109,1632.8568996745428,1409.5499486704773,920.9504340735692,2508.194407566427,4637.408605409209,12775.015832222964
RPS4X,1162.6559771948714,763.9051296334667,212.4074798827198,797.6387172247768,683.0377214768984,575.7476495458216,77.31846716387723,1432.3828851939857
RPS3,570.4276298123114,391.76564301754536,140.01261323544395,424.9550362272886,534.3371991600914,213.75283920031475,46.37532979544621,435.80766495123584
HSPA8,667.3714220098813,482.8772492942856,59.05892787327329,358.4621070445469,755.1259110161957,298.29719345854375,25.358432779449657,414.4853506024467
RPL7A,1503.6516607663357,941.6640447791322,367.4119160302584,1072.050349283284,993.5712013762716,551.6792320885629,148.88868286881532,1326.6627598500509
RPS23,724.5603393592861,514.0235884224851,189.58992848207885,444.4727923917776,679.6629648540198,272.68653431448,59.95880025456522,679.378207114694
RPL5,1153.3331237495158,739.3545731188764,234.02222530226985,844.6856292730713,712.8017031986938,387.31620293483184,98.33702358307576,971.5287396527016
RPS12,3668.531063942211,2676.9506540890843,739.4425732540076,3005.210430124808,4590.2465443012425,1386.2648174611318,250.65613523325447,3123.046089205935
